sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
Red Clay Consolidated,9532000020,10003,New Castle County,Delaware,19804,1,9.926422723644077,1,2,1,1,18708,28,4,39.72,-75.62
Milford,9518000090,10005,Sussex County,Delaware,19960,1,5.006730158730159,1,1,1,1,4269,6,4,38.86,-75.36
Newark Charter School,0000028713,10003,New Castle County,Delaware,19711,0,0,0,1,1,1,2389,2,1,39.71,-75.74
Polytech,9539000030,10001,Kent County,Delaware,19980,1,10.584258124765219,0,2,1,2,1197,1,1,39.07,-75.56
Campus Community Charter School,9574000000,10001,Kent County,Delaware,19904,1,3,0,1,1,1,428,1,2,39.17,-75.59
Mot Charter School,9588000000,10003,New Castle County,Delaware,19709,1,6.572481884873307,0,2,2,2,1380,2,1,39.45,-75.71
Academia Antonia Alonso,960500000,10003,New Castle County,Delaware,19805,1,5,1,1,1,1,596,1,4,39.74,-75.59
Division Of Youth Rehabilitative Services,3705500000,10003,New Castle County,Delaware,19805,1,1.5833333333333333,0,2,2,1,2962,6,,39.74,-75.59
Positive Outcomes,9571000000,10001,Kent County,Delaware,19934,1,4.1,0,1,1,1,118,1,2,39.08,-75.62
Academy Of Dover,958500000,10001,Kent County,Delaware,19904,1,5.006412540078376,1,1,1,1,264,1,4,39.17,-75.59
Brandywine,9531000170,10003,New Castle County,Delaware,19803,1,4.717241375323098,1,,1,1,4936,17,2,39.8,-75.54
Sussex Academy Of Arts & Sciences,9577000000,10005,Sussex County,Delaware,19947,0,0,0,1,1,1,792,1,1,38.69,-75.38
Appoquinimink,9529000190,10003,New Castle County,Delaware,19730,1,1.5953109256552724,0,2,1,1,11454,16,1,39.45,-75.66
Capital,9513000020,10001,Kent County,Delaware,19904,1,8.360748319480244,1,2,1,1,7582,12,4,39.17,-75.59
Colonial,9534000030,10003,New Castle County,Delaware,19720,1,13.492456391431407,1,1,1,1,10031,15,4,39.66,-75.57
Woodbridge,9535000070,10005,Sussex County,Delaware,19933,1,4.2,1,2,2,2,2526,4,4,38.74,-75.6
Seaford,9523000070,10005,Sussex County,Delaware,19973,0,0,1,1,1,1,3508,7,4,38.64,-75.61
Odyssey Charter School,0000006329,10003,New Castle County,Delaware,19805,1,1.9444444444444444,1,1,1,1,1841,3,1,39.74,-75.59
Delmar,9537000020,10005,Sussex County,Delaware,19940,1,6.518420141293808,0,1,2,1,1414,2,2,38.46,-75.57
Terry Children's Psychiatric Center,3704400000,10003,New Castle County,Delaware,19720,1,2,1,1,1,2,16,1,1,39.66,-75.57
Early College High School At Dsu,9604000000,10001,Kent County,Delaware,19901,0,0,0,1,1,4,385,1,3,39.15,-75.51
Caesar Rodney,9510000040,10001,Kent County,Delaware,19934,1,7.1,1,2,2,1,8103,13,2,39.08,-75.62
New Castle County Votech,9538000100,10003,New Castle County,Delaware,19804,1,8.535592368718035,0,2,2,2,4694,4,2,39.72,-75.62
Community Education Building Ps #5 LLC,0000218582,10003,New Castle County,Delaware,19801,1,4.047464337863641,1,1,1,1,1092,2,4,39.73,-75.54
First State Military Academy,9607000100,10001,Kent County,Delaware,19938,1,6.555259134641951,0,1,1,1,435,1,1,39.29,-75.63
Kevin Curry,9587000000,10001,Kent County,Delaware,19938,1,3.120783605678052,0,1,1,1,690,1,2,39.29,-75.63
Harvest Christian Academy,0000034518,10003,New Castle County,Delaware,19805,1,1,1,1,1,1,76,1,4,39.74,-75.59
East Side Charter School,9572000000,10003,New Castle County,Delaware,19802,1,3.025,1,1,1,1,473,1,4,39.76,-75.53
Indian River,9536000020,10005,Sussex County,Delaware,19975,1,7.71,1,3,2,3,10850,15,3,38.47,-75.17
Las Americas Aspira Academy,9569000000,10003,New Castle County,Delaware,19711,1,12.750797156854416,0,2,2,1,785,1,3,39.71,-75.74
Department Of Correction,3804200000,10001,Kent County,Delaware,19904,0,0,0,2,1,1,294,8,,39.17,-75.59
Sussex Technical,9540000030,10005,Sussex County,Delaware,19947,1,5.214409518093093,0,1,1,1,1246,1,1,38.69,-75.38
Cape Henlopen,9517000020,10005,Sussex County,Delaware,19958,1,5.748622118007758,1,3,2,2,5546,9,2,38.76,-75.17
Tarbiyah School,0000327041,10003,New Castle County,Delaware,19702,1,12.619565217391305,0,1,1,1,200,1,4,39.62,-75.73
Laurel,9516000030,10005,Sussex County,Delaware,19956,1,7.211111890018305,1,1,1,1,2576,4,4,38.55,-75.57
Smyrna,9524000040,10001,Kent County,Delaware,19977,1,7.9372833458929914,1,1,1,1,5833,8,3,39.29,-75.6
Christina,9533000040,10003,New Castle County,Delaware,19701,1,9.894095852534562,1,1,1,1,14955,31,3,39.58,-75.68
The Children's Guild Pcs,188,11001,District of Columbia,District of Columbia,20018,0,0,1,2,1,1,375,1,4,38.93,-76.97
Sela Pcs,174,11001,District of Columbia,District of Columbia,20011,1,6,0,1,1,1,229,1,2,38.95,-77.02
Dc International Pcs,181,11001,District of Columbia,District of Columbia,20012,1,4.5,1,2,1,4,1060,1,3,38.98,-77.03
LAYC Career Academy,172,11001,District of Columbia,District of Columbia,20010,1,5.5,0,1,1,1,126,1,4,38.93,-77.03
Thurgood Marshall Pcs,146,11001,District of Columbia,District of Columbia,20020,1,3.7475385003786923,1,1,1,1,396,1,4,38.86,-76.98
Basis Dc,168,11001,District of Columbia,District of Columbia,20004,0,0,0,1,1,1,597,1,1,38.89,-77.03
Roots Pcs,140,11001,District of Columbia,District of Columbia,20011,1,12.837990085624156,1,1,1,1,109,2,4,38.95,-77.02
Bridges Pcs,107,11001,District of Columbia,District of Columbia,20011,0,0,1,2,1,1,412,1,2,38.95,-77.02
Harmony Dc,180,11001,District of Columbia,District of Columbia,20002,0,0,0,1,1,1,114,1,4,38.91,-76.98
Washington Yu Ying,160,11001,District of Columbia,District of Columbia,20017,1,10.25062821941841,0,1,1,1,569,1,1,38.94,-76.99
Digital Pioneers Pcs,317,11001,District of Columbia,District of Columbia,20020,1,3,0,1,1,,120,1,4,38.86,-76.98
Perry Street Prep Pcs,125,11001,District of Columbia,District of Columbia,20018,1,8.531825938566552,1,2,2,2,374,1,4,38.93,-76.97
Briya Pcs,119,11001,District of Columbia,District of Columbia,20009,0,0,0,1,1,1,51,3,4,38.92,-77.04
Dcps,1,11001,District of Columbia,District of Columbia,20002,0,0,1,1,1,,49328,115,3,38.91,-76.98
Appletree Early Learning Pcs,103,11001,District of Columbia,District of Columbia,20020,1,3.223529411764706,1,2,1,1,638,6,3,38.86,-76.98
Two Rivers Pcs,149,11001,District of Columbia,District of Columbia,20002,1,4,0,1,1,1,859,3,1,38.91,-76.98
Dc Scholars,170,11001,District of Columbia,District of Columbia,20019,1,5,1,1,1,1,545,1,4,38.89,-76.94
Kipp Dc,129,11001,District of Columbia,District of Columbia,20037,1,9.125,1,1,1,1,6260,16,4,38.9,-77.06
Inspired Teaching Demonstration PCS,165,11001,District of Columbia,District of Columbia,20002,1,5.6,1,1,1,1,470,1,1,38.91,-76.98
Creative Minds Pcs,169,11001,District of Columbia,District of Columbia,20011,1,10.782644628099174,0,1,1,1,492,1,1,38.95,-77.02
Cesar Chavez Pcs,109,11001,District of Columbia,District of Columbia,20019,0,0,0,1,1,1,951,3,4,38.89,-76.94
Mary Mcleod Bethune,132,11001,District of Columbia,District of Columbia,20017,1,13.5,1,2,3,1,417,2,4,38.94,-76.99
Center City Pcs,156,11001,District of Columbia,District of Columbia,20002,1,3.6666666666666665,0,1,1,1,1465,6,4,38.91,-76.98
E.L. Haynes Pcs,116,11001,District of Columbia,District of Columbia,20011,1,6.270632888888889,0,1,,1,1133,3,3,38.95,-77.02
Ew Stokes Pcs,144,11001,District of Columbia,District of Columbia,20017,1,14.510913002997832,1,1,1,1,485,2,2,38.94,-76.99
National Collegiate Preparatory Public Charter High School,163,11001,District of Columbia,District of Columbia,20032,1,6.5,0,1,1,2,250,1,4,38.83,-77.01
Maya Angelou Pcs,133,11001,District of Columbia,District of Columbia,20019,1,11.2,0,1,1,1,200,1,4,38.89,-76.94
Rocketship Pcs,191,06081,San Mateo County,California,94065,1,12.230201293385015,1,1,1,1,1076,2,4,37.53,-122.24
San Miguel School,6067,11001,District of Columbia,District of Columbia,20012,1,7.5,1,1,1,1,93,1,3,38.98,-77.03
Capital City Pcs,108,11001,District of Columbia,District of Columbia,20011,1,13.616116666666667,0,1,1,1,1000,1,3,38.95,-77.02
Breakthrough Montessori Pcs,189,11001,District of Columbia,District of Columbia,20011,1,2,0,1,1,1,183,2,1,38.95,-77.02
Dc Bilingual Pcs,114,11001,District of Columbia,District of Columbia,20011,1,14.57430857142857,1,1,1,1,444,1,3,38.95,-77.02
Washington Latin,151,11001,District of Columbia,District of Columbia,20011,1,9.588235294117647,0,2,1,1,697,1,1,38.95,-77.02
Linwood Center Inc,2024,24027,Howard County,Maryland,21043,0,0,0,1,1,1,50,1,1,39.26,-76.8
NorthBay Education,10001733,24015,Cecil County,Maryland,21901,0,0,0,1,1,1,289,1,2,39.6,-75.94
Wicomico Co Brd Of Ed,22,24045,Wicomico County,Maryland,21802,1,8,1,2,1,1,14943,26,3,38.34,-75.58
Childrens Guild Inc,4045,24005,Baltimore County,Maryland,21234,1,1.95125,0,1,1,2,207,5,2,39.38,-76.55
Board Of Child Care,3674,24005,Baltimore County,Maryland,21244,0,0,0,1,1,1,106,1,3,39.33,-76.78
Mont Co Correctional Facility,5470,24031,Montgomery County,Maryland,20841,1,2,0,2,1,1,90,1,4,39.18,-77.31
Dept Health & Mental Hygiene,3696,24005,Baltimore County,Maryland,21228,1,4.722222222222221,0,2,2,2,184,3,3,39.26,-76.74
The Foundation Schools,5481,24031,Montgomery County,Maryland,20852,1,1.5,0,1,1,1,131,1,3,39.05,-77.12
Frederick Co Pub Sch,10,24021,Frederick County,Maryland,21702,1,11.511464927403583,1,3,1,4,43115,67,1,39.48,-77.46
Kent Co Brd Of Ed,14,24029,Kent County,Maryland,21661,1,2.0625,0,1,1,1,1943,5,3,39.14,-76.24
"St. Ignatius Loyola Academy, Inc",5526,24510,Baltimore city,Maryland,21230,0,0,0,2,1,1,114,1,4,39.27,-76.62
Md Sch For The Deaf,3717,24021,Frederick County,Maryland,21705,1,6.534676829289437,0,2,2,1,508,2,,39.41,-77.41
Howard Co Pub Sch,13,24027,Howard County,Maryland,21042,1,7.7440474437948925,0,1,1,1,57712,76,1,39.27,-76.83
Calvert Co Pub Sch,04,24009,Calvert County,Maryland,20678,1,9.265217391304347,0,3,1,1,16060,23,1,38.54,-76.58
Archdiocese Of Baltimore,3189,24510,Baltimore city,Maryland,21201,0,0,0,2,2,1,2864,10,2,39.29,-76.62
Talbot Co Pub Sch,20,24041,Talbot County,Maryland,21601,1,6.534267563527653,1,1,1,1,4693,9,2,38.77,-76.06
The Chimes,5419,24005,Baltimore County,Maryland,21244,0,0,0,,,,54,1,3,39.33,-76.78
Garrett Co Pub Sch,11,24023,Garrett County,Maryland,21550,0,0,0,1,1,1,3993,14,2,39.41,-79.41
Associated Catholic Charities,3693,24005,Baltimore County,Maryland,21093,1,3.8333333333333335,0,1,1,1,125,3,3,39.43,-76.64
Harford Co Pub Sch,12,24025,Harford County,Maryland,21050,1,12.802727272727271,1,2,2,1,37964,55,1,39.58,-76.39
St Marys Co Pub Sch,18,24037,St. Mary's County,Maryland,20656,1,9.828820408163265,0,1,1,1,18160,28,2,38.35,-76.67
Anne Arundel Co Pub Sch,02,24003,Anne Arundel County,Maryland,21401,1,11.861457374800157,0,3,3,2,83414,120,2,38.99,-76.55
St Elizabeth School,5457,24510,Baltimore city,Maryland,21218,1,3.7534545454545456,0,1,1,1,137,1,1,39.33,-76.6
Baltimore City Pub Sch,30,24510,Baltimore city,Maryland,21202,1,9.791963442936716,1,1,1,1,79310,172,4,39.3,-76.61
Worcester Co Brd Of Ed,23,24047,Worcester County,Maryland,21841,1,5.05,0,1,1,1,6832,12,2,38.25,-75.29
Montgomery Co Pub Sch,15,24031,Montgomery County,Maryland,20879,1,9.49836980695345,1,2,2,4,163871,206,2,39.17,-77.18
Prince George'S Co. Public School,16,24033,Prince George's County,Maryland,20746,1,6.838436974789916,1,2,2,2,133244,204,3,38.83,-76.92
Kennedy Krieger,9662,24510,Baltimore city,Maryland,21211,0,0,0,1,1,1,490,3,1,39.33,-76.64
Julie HIckey,17,24035,Queen Anne's County,Maryland,21617,1,6.458333333333334,0,1,1,1,7791,15,1,39.04,-76.06
Carroll Co Pub Sch,06,24013,Carroll County,Maryland,21157,1,11.505740652993072,0,1,1,1,25158,41,1,39.57,-77
Md Dept Of Juvenile Services,2036,24510,Baltimore city,Maryland,21201,1,8.677720946080514,1,1,1,1,407,13,4,39.29,-76.62
Baltimore Co Pub Sch,03,24005,Baltimore County,Maryland,21220,1,9.806012216818976,1,1,1,1,114575,167,2,39.33,-76.43
Maryland School For The Blind,8600,24005,Baltimore County,Maryland,21236,1,5.548788579569294,0,2,2,1,210,1,1,39.39,-76.48
Cedar Ridge Childrens Home,3689,24043,Washington County,Maryland,21795,1,0.51,0,2,1,2,57,5,4,39.59,-77.81
Caroline Co Pub Sch,05,24011,Caroline County,Maryland,21629,1,3.2553475935828873,1,2,3,2,6016,11,3,38.88,-75.82
Cecil Co Pub Sch,07,24015,Cecil County,Maryland,21901,1,1.025,0,2,1,1,15362,30,3,39.6,-75.94
Saint Francis International School,10000106,24031,Montgomery County,Maryland,20903,1,6.2,0,1,1,1,442,1,3,39.02,-76.98
Phillips Programs,5499,51059,Fairfax County,Virginia,22003,1,6.051108661739281,0,1,1,1,239,1,2,38.83,-77.21
Maryland Salem Childrens Trust,5422,24001,Allegany County,Maryland,21532,1,3.04,0,1,1,1,32,5,4,39.66,-78.92
Mother Seton Academy,10000477,24510,Baltimore city,Maryland,21218,1,7.525,1,1,1,1,75,1,4,39.33,-76.6
Bais Yaakov School For Girls Inc,5506,24005,Baltimore County,Maryland,21209,1,0.8763020833333334,0,1,1,1,1426,4,1,39.37,-76.67
Dorchester Co Board Of Ed,09,24019,Dorchester County,Maryland,21613,1,5.386111111111111,1,3,2,2,4819,12,4,38.56,-76.07
Talmudical Academy Of Baltimor,5469,24005,Baltimore County,Maryland,21208,1,4.655102040816327,1,3,3,1,1048,1,1,39.39,-76.7
Bishop Walsh Mid High School,3697,24001,Allegany County,Maryland,21502,1,2.5,0,1,1,1,364,1,1,39.65,-78.76
Charles Co Brd Of Ed,08,24017,Charles County,Maryland,20646,1,8.29196675900277,0,1,1,1,27433,38,2,38.53,-76.97
Don Bosco Cristo Rey,5507,24031,Montgomery County,Maryland,20912,0,0,0,2,4,1,397,1,3,38.98,-77
Allegany Co Pub Sch,01,24001,Allegany County,Maryland,21501,1,6.108333333333333,1,2,1,1,8545,24,3,39.65,-78.76
Shepard Schools,02809635,34027,Morris County,New Jersey,07960,1,4.525,0,1,1,1,64,1,1,40.79,-74.47
Riverton BD Of ED,00504460,34005,Burlington County,New Jersey,08077,0,0,0,4,3,1,291,1,1,40.01,-75.01
Penns Gr Cnys Pt Rg BOE,03304070,34033,Salem County,New Jersey,08069,1,2.8400000000000003,0,2,1,2,2215,5,3,39.72,-75.46
Elnorah Inc Stepping Ston,04209508,34019,Hunterdon County,New Jersey,08804,0,0,0,3,2,4,30,1,2,40.65,-75.08
Bonnie Brae,23609018,34035,Somerset County,New Jersey,07938,1,5.125,0,1,1,1,114,1,,40.68,-74.56
Hope Academy Charter,08006740,34025,Monmouth County,New Jersey,07712,0,0,0,2,1,4,236,1,4,40.22,-74.01
West Orange BD Of ED,01305680,34013,Essex County,New Jersey,07052,1,5.7,1,1,1,1,6599,12,2,40.79,-74.26
Sussex Co Voc BD Of ED,03705110,34037,Sussex County,New Jersey,07871,0,0,0,1,1,1,100,2,4,41.04,-74.62
South Bergen Jointure Com,00304845,34003,Bergen County,New Jersey,07604,0,0,0,2,2,1,345,7,2,40.86,-74.07
Rabbi Jacob Joseph Sch,02409412,34023,Middlesex County,New Jersey,08817,1,2.5,0,2,2,1,84,1,1,40.51,-74.39
Bellmawr BD Of ED,00700260,34007,Camden County,New Jersey,08031,1,5.333333333333333,0,2,1,1,1209,3,2,39.86,-75.09
Netcong Boro BD Of ED,02703520,34027,Morris County,New Jersey,07857,1,4.0349825305715,0,1,1,,267,1,2,40.9,-74.7
Peoples Preparatory Charter High School,08006057,34013,Essex County,New Jersey,07103,0,0,0,,,,394,1,4,40.74,-74.2
Lacey Twp BD Of ED,02902480,34029,Ocean County,New Jersey,08734,1,3.75,1,1,1,1,3996,6,1,39.86,-74.16
Harrison BD Of ED,01702060,34017,Hudson County,New Jersey,07029,1,7.905,0,1,1,1,2074,5,3,40.74,-74.15
Par Troy Hills BD Of ED,02703950,34027,Morris County,New Jersey,07054,1,3.009958711183433,0,4,3,2,7083,14,1,40.85,-74.4
Springfield BD Of ED,03905000,34039,Union County,New Jersey,07081,1,10.215345268542201,0,2,2,1,2099,5,1,40.69,-74.32
Mount Laurel BD Of ED,00503440,34005,Burlington County,New Jersey,08054,1,10.587377395986923,1,1,1,1,4232,8,1,39.94,-74.9
Legacy Treatment Services,10609620,34005,Burlington County,New Jersey,08036,0,0,0,1,1,1,31,1,,39.98,-74.82
Monmouth Co Voc School,02503260,34025,Monmouth County,New Jersey,07728,1,10.078992281872832,0,1,1,1,48,1,2,40.25,-74.27
Salem Co Bd For Voc Educ.,03304640,34033,Salem County,New Jersey,08098,1,5.2,0,2,3,1,831,2,1,39.65,-75.32
Wharton Boro BD Of ED,02705770,34027,Morris County,New Jersey,07885,0,0,0,1,1,1,718,1,2,40.89,-74.58
Hudson Arts & Science Charter School,08006106,34017,Hudson County,New Jersey,07032,1,2.7,0,1,1,1,697,3,3,40.75,-74.11
Atlantic Co Spec Serv,00100125,34001,Atlantic County,New Jersey,08330,1,3.525,0,2,2,1,307,1,3,39.45,-74.72
Rockaway Boro BD Of ED,02704480,34027,Morris County,New Jersey,07866,1,7,0,1,1,1,562,2,1,40.95,-74.49
Bridgeton City BD Of ED,01100540,34011,Cumberland County,New Jersey,08302,1,9.61,1,1,1,1,6023,10,4,39.42,-75.22
Essex Co Voc BD Of ED,01301390,34013,Essex County,New Jersey,07102,1,10.236666666666666,1,2,2,1,2409,3,3,40.74,-74.17
East Greenwich BD Of ED,01501180,34015,Gloucester County,New Jersey,08056,0,0,0,2,2,2,1293,2,1,39.78,-75.25
Kenilworth BD Of ED,03902420,34039,Union County,New Jersey,07033,1,7.266209737735872,0,1,1,1,292,3,4,40.67,-74.28
Brick Twp BD Of ED,02900530,34029,Ocean County,New Jersey,08724,1,6.52,0,1,1,1,8553,12,1,40.06,-74.11
Westbridge Academy,01409361,34013,Essex County,New Jersey,07003,1,2.13774944662743,0,2,1,1,64,1,3,40.81,-74.18
Millville BD Of ED,01103230,34011,Cumberland County,New Jersey,08332,1,2.525,0,1,1,1,5412,10,3,39.39,-75.05
Toras Imecha,03009680,34029,Ocean County,New Jersey,08701,1,7.522742474916388,1,1,1,1,881,3,4,40.09,-74.21
Green Twp BD Of ED,03701800,34037,Sussex County,New Jersey,07839,1,6.037359900373599,0,3,3,3,409,1,1,40.97,-74.81
Brielle BD Of ED,000000,34025,Monmouth County,New Jersey,08730,0,0,0,1,2,1,505,1,1,40.1,-74.06
Carteret BD Of ED,02300750,34023,Middlesex County,New Jersey,07008,1,10.013714285714286,0,2,1,1,3776,5,3,40.58,-74.22
Wdstwn Pilsgr Reg Bd O Ed,03305910,34033,Salem County,New Jersey,08098,1,7.2651724137931035,0,1,1,1,1557,4,1,39.65,-75.32
Yeshiva Tiferes Boruch,03609721,34039,Union County,New Jersey,07060,0,0,0,1,1,1,60,1,2,40.62,-74.42
Delsea Reg Hs District,01504940,34015,Gloucester County,New Jersey,08322,1,7.5,0,1,1,1,1614,2,1,39.61,-75.02
Newark Educators Charter School,08006029,34013,Essex County,New Jersey,07102,0,0,0,,,,300,1,4,40.74,-74.17
N Plainfield BD Of ED,03503670,34039,Union County,New Jersey,07060,1,12.762857142857143,0,2,2,1,3273,7,1,40.62,-74.42
Forum School,00409288,34003,Bergen County,New Jersey,07463,0,0,0,2,1,1,74,1,1,41.01,-74.12
Somerset Co Voc BD Of ED,03504810,34035,Somerset County,New Jersey,08807,1,12.1131544785807,0,1,3,1,516,1,1,40.59,-74.62
So Hunt Reg SD,01901376,34019,Hunterdon County,New Jersey,08530,1,9.931862745098039,0,2,2,3,904,3,1,40.36,-74.94
Greater Brunswick Charter,08006635,34023,Middlesex County,New Jersey,08901,1,8.018181818181818,0,3,1,1,392,1,3,40.48,-74.44
Yeshiva Yesodei Hatorah,03009736,34029,Ocean County,New Jersey,08701,0,0,0,,,,192,4,2,40.09,-74.21
Winslow Twp BD Of ED,00705820,34007,Camden County,New Jersey,08004,1,8.582497339685707,0,2,3,1,4762,8,3,39.76,-74.85
Pine Hill BD Of ED,00704110,34007,Camden County,New Jersey,08021,1,3.113477088948787,0,2,1,1,1859,4,3,39.8,-74.98
Morris Hills Reg BD Of ED,02703370,34027,Morris County,New Jersey,07866,1,7.236363636363636,0,1,1,1,2931,2,1,40.95,-74.49
Moonachie BD Of ED,00303350,34003,Bergen County,New Jersey,07074,1,3,0,1,1,1,287,1,3,40.84,-74.05
Riverbank Charter School,08006026,34005,Burlington County,New Jersey,08554,1,5,0,1,1,1,151,1,1,40.12,-74.78
South Amboy BD Of ED,02304830,34023,Middlesex County,New Jersey,08879,0,0,0,1,1,1,1077,2,2,40.47,-74.29
Kingwood Twp BD Of ED,01902450,34019,Hunterdon County,New Jersey,08825,1,6.034435297447752,0,2,2,2,326,1,1,40.52,-75.05
Hudson Co Voc BD Of ED,01702295,34017,Hudson County,New Jersey,07094,0,0,0,1,1,1,2464,3,2,40.78,-74.06
Toms River BD Of ED,02905190,34029,Ocean County,New Jersey,08753,1,5.611111111111111,0,1,1,1,15400,18,1,39.95,-74.18
Stillwater Twp BD Of ED,03705040,34037,Sussex County,New Jersey,07875,1,7.035329619312906,0,1,1,1,266,1,1,41.05,-74.86
Ogdensburg BD Of ED,03703840,34037,Sussex County,New Jersey,07439,1,7.61025641025641,0,1,1,1,223,1,1,41.07,-74.59
Dunellen BD Of ED,02301140,34023,Middlesex County,New Jersey,08812,0,0,0,1,1,1,1263,3,2,40.6,-74.48
Clinton-Glen Gardner BOE,01900910,34019,Hunterdon County,New Jersey,08809,1,4.549330900243309,0,1,1,1,434,1,1,40.63,-74.91
Hunterdon Youth Ser,12009337,34019,Hunterdon County,New Jersey,08822,1,7.675,0,1,1,1,10,1,,40.5,-74.86
West Deptford BD Of ED,01505620,34015,Gloucester County,New Jersey,08066,0,0,0,1,1,1,2950,5,1,39.83,-75.24
Pride Academy Charter,08006020,34013,Essex County,New Jersey,07018,0,0,0,2,1,4,288,1,3,40.76,-74.21
Princeton Charter School,08007540,34021,Mercer County,New Jersey,08540,0,0,0,,,,422,1,1,40.35,-74.65
Rochelle Park BD Of ED,00304470,34003,Bergen County,New Jersey,07662,1,8.563333333333333,0,1,2,1,506,1,1,40.91,-74.08
Dr Lena Edwards Academic Charter School,08006064,34017,Hudson County,New Jersey,07304,0,0,0,,,,391,1,4,40.71,-74.06
Cherry Hill Twp BD Of ED,00700800,34007,Camden County,New Jersey,08034,1,10.987719298245613,0,2,2,1,10981,19,1,39.9,-74.99
Maywood BD Of ED,00303060,34003,Bergen County,New Jersey,07607,1,8.102210575762879,0,1,1,1,993,2,1,40.9,-74.06
Bogota BD Of ED,00300440,34003,Bergen County,New Jersey,07603,1,5.036049723756906,0,2,1,1,1111,3,2,40.87,-74.03
Mine Hill Twp BD Of ED,02703240,34027,Morris County,New Jersey,07803,1,2.5350011364927836,1,2,2,1,346,1,1,40.87,-74.6
Yeshiva Toras Chaim,03009687,34029,Ocean County,New Jersey,08701,1,2.1,1,1,1,1,126,1,3,40.09,-74.21
Madrasatu Ahlis Sunnah,01409628,34013,Essex County,New Jersey,07017,1,4.78,0,1,1,1,186,1,4,40.77,-74.21
Ocean County Vocational Technical School,02903790,34029,Ocean County,New Jersey,08753,1,1.5,0,1,1,1,603,3,1,39.95,-74.18
Morris Union Jointure Com,03903395,34039,Union County,New Jersey,07974,0,0,1,1,1,1,225,2,1,40.7,-74.4
Beverly City BD Of ED,00500380,34005,Burlington County,New Jersey,08010,0,0,0,,,,305,1,4,40.06,-74.92
Foundation Academy Charter,08006017,34021,Mercer County,New Jersey,08618,1,3,0,1,1,1,1057,2,3,40.25,-74.79
Leap Academy University,08007109,34007,Camden County,New Jersey,08102,1,10.106907724401179,0,1,1,1,1491,4,4,39.95,-75.12
Berkeley Twp BD Of ED,02900320,34029,Ocean County,New Jersey,08721,0,0,0,1,1,1,2308,4,2,39.91,-74.21
Franklin Twp BD Of ED,03501610,34035,Somerset County,New Jersey,08873,1,10.368693141272697,0,1,1,1,6995,10,2,40.49,-74.48
Essex Reg ED Serv Comm,01301387,34013,Essex County,New Jersey,07004,0,0,0,2,1,1,75,3,4,40.88,-74.3
Bordentown Reg BD Of ED,00500475,34005,Burlington County,New Jersey,08505,1,7.221748586341888,0,1,1,1,2474,5,1,40.14,-74.7
Matheny School,23656478,34035,Somerset County,New Jersey,07977,1,6,0,2,2,1,31,1,,40.71,-74.67
Fairfield Twp BD Of ED,01101460,34011,Cumberland County,New Jersey,08302,0,0,0,2,1,1,554,1,4,39.42,-75.22
Voorhees Twp BD Of ED,00705400,34007,Camden County,New Jersey,08043,1,3.025,0,1,1,1,2996,5,1,39.84,-74.95
Cape May BD Of ED,00900710,34009,Cape May County,New Jersey,08204,1,8.737037037037037,0,1,1,1,153,1,2,38.94,-74.9
Pemberton Twp BD Of ED,00504050,34005,Burlington County,New Jersey,08068,1,5.090909090909091,0,3,3,3,4778,11,2,39.97,-74.68
Empowerment Acad Charter School,08006103,34017,Hudson County,New Jersey,07304,1,5.022120223414257,0,1,1,2,578,1,3,40.71,-74.06
Center For Family Serv,10809668,34007,Camden County,New Jersey,08103,0,0,0,1,1,1,14,14,,39.94,-75.11
North Jersey Elks Developmental Disabilities Agency,03209272,34031,Passaic County,New Jersey,07011,0,0,0,2,1,2,135,2,3,40.88,-74.14
East Newark BD Of ED,01701200,34017,Hudson County,New Jersey,07029,1,9.010040160642571,0,1,1,1,212,1,3,40.74,-74.15
Freehold Reg BD Of ED,02501650,34025,Monmouth County,New Jersey,07726,1,8.537488284910966,1,1,1,1,10664,6,1,40.29,-74.36
Burl Co Sp Serv Sch Dist,00500605,34005,Burlington County,New Jersey,08060,1,4.703233082129953,0,3,3,2,636,3,3,39.99,-74.78
Pitman BD Of ED,01504140,34015,Gloucester County,New Jersey,08071,0,0,0,1,1,1,1264,5,1,39.73,-75.13
Franklin Twp BD Of ED,01501590,34015,Gloucester County,New Jersey,08322,1,6.666666666666666,0,3,3,2,1388,3,2,39.61,-75.02
Achievers Early College Prep Cs,08007895,34021,Mercer County,New Jersey,08611,0,0,0,,,,75,1,4,40.18,-74.74
Quinton BD Of ED,03304280,34033,Salem County,New Jersey,08072,0,0,0,1,1,1,311,1,2,39.54,-75.42
Oldmans Twp BD Of ED,03303860,34033,Salem County,New Jersey,08067,0,0,0,,,,271,1,1,39.73,-75.4
Moorestown BD Of ED,00503360,34005,Burlington County,New Jersey,08057,1,11,0,1,1,1,3988,6,1,39.97,-74.94
Union Beach BD Of ED,02505230,34025,Monmouth County,New Jersey,07735,1,7.010010876013446,0,1,1,1,610,1,2,40.43,-74.2
Totowa BD Of ED,03105200,34031,Passaic County,New Jersey,07512,1,7,1,1,1,1,989,2,1,40.9,-74.22
Ocean City BD Of ED,00903780,34009,Cape May County,New Jersey,08226,1,14.711137609254909,0,1,1,1,2125,3,1,39.26,-74.6
