sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
Constellation Schools: Eastside Arts Academy,012671,39035,Cuyahoga County,Ohio,44105,0,0,0,1,1,1,132,1,4,41.45,-81.63
Ravenna City SD,044685,39133,Portage County,Ohio,44266,1,4.043333333333333,0,1,1,1,2146,6,4,41.15,-81.24
Paint Valley,049510,39141,Ross County,Ohio,45612,1,7,0,2,1,2,885,1,4,39.22,-83.26
Crestwood Local SD,049189,39133,Portage County,Ohio,44255,1,11.04,0,1,1,1,1847,5,1,41.28,-81.22
St John Lutheran,060392,39039,Defiance County,Ohio,43512,1,3.7,0,2,2,1,84,1,2,41.28,-84.36
Franklin City SD,044008,39165,Warren County,Ohio,45005,0,0,0,2,3,2,3303,8,2,39.55,-84.3
Mount Gilead Exempted Village School District,045534,39117,Morrow County,Ohio,43338,1,6,0,2,2,4,1179,3,2,40.55,-82.83
Eastwood Local SD,050674,39173,Wood County,Ohio,43450,0,0,0,2,1,1,1420,3,1,41.4,-83.45
Bradford Ex Vill SD,045229,39037,Darke County,Ohio,45308,0,0,0,3,3,2,478,1,2,40.13,-84.42
Miami Valley Academy,132944,39113,Montgomery County,Ohio,45449,0,0,0,,,,110,1,4,39.66,-84.24
Columbus Arts & Technology Academy,000557,39049,Franklin County,Ohio,43232,0,0,0,2,1,1,568,1,3,39.92,-82.87
Oakview Juvenile Residential Center,121749,39013,Belmont County,Ohio,43950,1,7,0,1,1,1,8,1,,40.07,-80.89
Constellation Schools: Lorain Community Middle School,000320,39093,Lorain County,Ohio,44052,0,0,0,1,1,1,131,1,4,41.44,-82.18
Hubbard Ex Vill SD,045427,39155,Trumbull County,Ohio,44425,1,6.03725800938442,0,2,2,2,1950,3,2,41.16,-80.56
Constellation Schools: Old Brooklyn Community Elementary,134098,39035,Cuyahoga County,Ohio,44109,0,0,0,1,1,1,330,1,3,41.47,-81.67
Johnstown-Monroe Local SD,047985,39089,Licking County,Ohio,43031,1,4.033064516129032,1,1,1,1,1679,3,1,40.15,-82.68
Constellation Schools: Old Brooklyn Community Middle,000321,39035,Cuyahoga County,Ohio,44109,0,0,0,1,1,1,273,1,2,41.47,-81.67
Summit Academy Secondary - Canton,000300,39151,Stark County,Ohio,44709,0,0,0,1,1,1,90,1,4,40.84,-81.39
Summit Academy-Lorain,133322,39093,Lorain County,Ohio,44055,0,0,0,1,1,1,97,1,4,41.43,-82.13
Summit Academy Community School-Warren,000305,39155,Trumbull County,Ohio,44484,0,0,0,1,1,1,136,1,4,41.24,-80.75
Foxfire Center For Student Success,149328,39119,Muskingum County,Ohio,43702,0,0,0,4,4,4,405,1,4,39.95,-82.01
Hamilton County Esc,047324,,,Ohio,,0,0,0,1,1,1,55,1,4,,
Coldwater Ex Vill SD,045310,39107,Mercer County,Ohio,45828,1,5.506093399629521,0,2,2,2,1367,1,1,40.48,-84.63
Bridges Community Academy,000311,39147,Seneca County,Ohio,44883,0,0,0,1,1,1,138,1,3,41.11,-83.17
Constellation Schools: Puritas Community Middle,000534,39035,Cuyahoga County,Ohio,44135,0,0,0,1,1,1,176,1,4,41.43,-81.82
Legacy Christian Academy,067546,39057,Greene County,Ohio,45385,1,6.664179104477611,0,1,1,1,428,1,1,39.68,-83.94
Trumbull County Board Of DD,066266,39155,Trumbull County,Ohio,44446,1,5.074999999999999,0,1,1,1,217,1,2,41.18,-80.75
Zenith Academy,000725,39049,Franklin County,Ohio,43229,0,0,0,,,,610,1,4,40.09,-82.98
Upper Sandusky Exempted Village Schools,045625,39175,Wyandot County,Ohio,43351,0,0,0,4,2,2,1597,5,2,40.83,-83.28
Discovery Academy,014188,39095,Lucas County,Ohio,43606,1,5.5,1,1,1,1,341,1,4,41.66,-83.58
